Date_ID,Year,Quarter,Month,unique,Month Number,Month End
2021-Q1-mar,2021,Q1,Mar,2021Q1mar,3,31-03-2021
2024-Q4-nov,2024,Q4,Nov,2024Q4nov,11,30-11-2024
2021-Q4-oct,2021,Q4,Oct,2021Q4oct,10,31-10-2021
2021-Q3-sep,2021,Q3,Sep,2021Q3sep,9,30-09-2021
2021-Q1-feb,2021,Q1,Feb,2021Q1feb,2,28-02-2021
2020-Q3-jul,2020,Q3,Jul,2020Q3jul,7,31-07-2020
2023-Q1-feb,2023,Q1,Feb,2023Q1feb,2,28-02-2023
2021-Q3-jul,2021,Q3,Jul,2021Q3jul,7,31-07-2021
2022-Q4-oct,2022,Q4,Oct,2022Q4oct,10,31-10-2022
2023-Q4-dec,2023,Q4,Dec,2023Q4dec,12,31-12-2023
2023-Q3-sep,2023,Q3,Sep,2023Q3sep,9,30-09-2023
2024-Q4-dec,2024,Q4,Dec,2024Q4dec,12,31-12-2024
2020-Q4-nov,2020,Q4,Nov,2020Q4nov,11,30-11-2020
2021-Q2-apr,2021,Q2,Apr,2021Q2apr,4,30-04-2021
2021-Q2-may,2021,Q2,May,2021Q2may,5,31-05-2021
2024-Q1-mar,2024,Q1,Mar,2024Q1mar,3,31-03-2024
2020-Q3-sep,2020,Q3,Sep,2020Q3sep,9,30-09-2020
2022-Q1-mar,2022,Q1,Mar,2022Q1mar,3,31-03-2022
2022-Q2-may,2022,Q2,May,2022Q2may,5,31-05-2022
2022-Q1-jan,2022,Q1,Jan,2022Q1jan,1,31-01-2022
2021-Q4-nov,2021,Q4,Nov,2021Q4nov,11,30-11-2021
2020-Q1-feb,2020,Q1,Feb,2020Q1feb,2,29-02-2020
2021-Q1-jan,2021,Q1,Jan,2021Q1jan,1,31-01-2021
2022-Q3-jul,2022,Q3,Jul,2022Q3jul,7,31-07-2022
2022-Q4-nov,2022,Q4,Nov,2022Q4nov,11,30-11-2022
2021-Q3-aug,2021,Q3,Aug,2021Q3aug,8,31-08-2021
2023-Q1-mar,2023,Q1,Mar,2023Q1mar,3,31-03-2023
2024-Q3-sep,2024,Q3,Sep,2024Q3sep,9,30-09-2024
2020-Q3-aug,2020,Q3,Aug,2020Q3aug,8,31-08-2020
2023-Q1-jan,2023,Q1,Jan,2023Q1jan,1,31-01-2023
2024-Q4-oct,2024,Q4,Oct,2024Q4oct,10,31-10-2024
2023-Q2-may,2023,Q2,May,2023Q2may,5,31-05-2023
2020-Q4-oct,2020,Q4,Oct,2020Q4oct,10,31-10-2020
2024-Q2-apr,2024,Q2,Apr,2024Q2apr,4,30-04-2024
2020-Q2-jun,2020,Q2,Jun,2020Q2jun,6,30-06-2020
2023-Q4-nov,2023,Q4,Nov,2023Q4nov,11,30-11-2023
2024-Q3-aug,2024,Q3,Aug,2024Q3aug,8,31-08-2024
2024-Q2-may,2024,Q2,May,2024Q2may,5,31-05-2024
2022-Q3-sep,2022,Q3,Sep,2022Q3sep,9,30-09-2022
2020-Q4-dec,2020,Q4,Dec,2020Q4dec,12,31-12-2020
2024-Q1-jan,2024,Q1,Jan,2024Q1jan,1,31-01-2024
2020-Q1-mar,2020,Q1,Mar,2020Q1mar,3,31-03-2020
2020-Q2-may,2020,Q2,May,2020Q2may,5,31-05-2020
2020-Q1-jan,2020,Q1,Jan,2020Q1jan,1,31-01-2020
2022-Q2-apr,2022,Q2,Apr,2022Q2apr,4,30-04-2022
2023-Q3-jul,2023,Q3,Jul,2023Q3jul,7,31-07-2023
2022-Q1-feb,2022,Q1,Feb,2022Q1feb,2,28-02-2022
2023-Q4-oct,2023,Q4,Oct,2023Q4oct,10,31-10-2023
2022-Q4-dec,2022,Q4,Dec,2022Q4dec,12,31-12-2022
2024-Q1-feb,2024,Q1,Feb,2024Q1feb,2,29-02-2024
2024-Q2-jun,2024,Q2,Jun,2024Q2jun,6,30-06-2024
2023-Q2-jun,2023,Q2,Jun,2023Q2jun,6,30-06-2023
2021-Q4-dec,2021,Q4,Dec,2021Q4dec,12,31-12-2021
2020-Q2-apr,2020,Q2,Apr,2020Q2apr,4,30-04-2020
2022-Q2-jun,2022,Q2,Jun,2022Q2jun,6,30-06-2022
2021-Q2-jun,2021,Q2,Jun,2021Q2jun,6,30-06-2021
2024-Q3-jul,2024,Q3,Jul,2024Q3jul,7,31-07-2024
2023-Q3-aug,2023,Q3,Aug,2023Q3aug,8,31-08-2023
2022-Q3-aug,2022,Q3,Aug,2022Q3aug,8,31-08-2022
2023-Q2-apr,2023,Q2,Apr,2023Q2apr,4,30-04-2023
